ticket_id,emp_id,dept_id,ticket_type,category,priority,status,raised_date,resolved_date,resolution_hrs,sla_breached,reopen_count,satisfaction_score,assigned_to
TKT00077,EMP0294,DEPT03,Change Request,Email,High,Open,2023-07-22,2023-07-23 04:36:00,28.6,Yes,1,3,EMP0349
TKT00078,EMP0449,DEPT09,Bug,Cloud,Medium,Resolved,2022-10-22,2022-10-22 04:00:00,4.0,No,0,2,EMP0065
TKT00079,EMP0086,DEPT14,Service Request,Database,Low,Resolved,2022-01-22,2022-01-22 13:36:00,13.6,No,0,4,EMP0367
TKT00080,EMP0275,DEPT01,Problem,Other,High,Open,2022-05-05,2022-05-06 05:12:00,29.2,Yes,0,4,EMP0456
TKT00081,EMP0106,DEPT10,Bug,Access,Medium,Closed,2023-02-24,2023-02-26 00:24:00,48.4,Yes,0,2,EMP0490
TKT00082,EMP0400,DEPT02,Bug,Security,High,Open,2022-04-24,2022-04-24 17:00:00,17.0,No,2,4,EMP0112
TKT00083,EMP0321,DEPT04,Bug,Cloud,Low,Resolved,2023-04-22,2023-04-25 01:36:00,73.6,Yes,0,5,EMP0340
TKT00084,EMP0057,DEPT10,Service Request,Other,Low,Reopened,2021-03-31,2021-04-03 22:30:00,94.5,Yes,1,4,EMP0100
TKT00085,EMP0486,DEPT05,Bug,Email,Critical,In Progress,2022-10-14,2022-10-14 01:42:00,1.7,No,0,4,EMP0292
TKT00086,EMP0496,DEPT09,Bug,Software,Low,Resolved,2023-08-27,2023-08-29 15:00:00,63.0,No,0,4,EMP0435
TKT00087,EMP0315,DEPT15,Problem,Database,Critical,Open,2023-02-20,2023-02-20 05:36:00,5.6,Yes,2,4,EMP0148
TKT00088,EMP0313,DEPT07,Service Request,Security,Critical,Open,2023-03-02,2023-03-02 01:12:00,1.2,No,0,1,EMP0158
TKT00089,EMP0169,DEPT04,Service Request,Email,High,Open,2021-11-08,2021-11-08 06:00:00,6.0,No,0,5,EMP0298
TKT00090,EMP0067,DEPT01,Bug,Hardware,High,Closed,2023-10-12,2023-10-12 23:54:00,23.9,No,2,5,EMP0358
TKT00091,EMP0310,DEPT16,Service Request,Security,Medium,Closed,2021-03-17,2021-03-18 10:30:00,34.5,No,1,3,EMP0494
TKT00092,EMP0277,DEPT06,Incident,Cloud,High,Closed,2021-09-16,2021-09-17 09:06:00,33.1,Yes,0,4,EMP0192
TKT00093,EMP0011,DEPT01,Service Request,Hardware,Low,Resolved,2023-10-26,2023-10-26 05:54:00,5.9,No,0,4,EMP0442
TKT00094,EMP0487,DEPT04,Service Request,Security,Medium,Closed,2022-11-11,2022-11-13 02:48:00,50.8,Yes,0,2,EMP0116
TKT00095,EMP0370,DEPT03,Service Request,Other,Medium,Resolved,2021-07-25,2021-07-25 10:18:00,10.3,No,1,3,EMP0011
TKT00096,EMP0011,DEPT08,Change Request,Software,Medium,Resolved,2023-06-21,2023-06-21 13:12:00,13.2,No,0,1,EMP0002
TKT00097,EMP0411,DEPT15,Change Request,Access,Medium,Resolved,2021-07-24,2021-07-24 04:30:00,4.5,No,2,5,EMP0202
TKT00098,EMP0195,DEPT19,Change Request,Software,Medium,Open,2023-12-14,2023-12-14 22:48:00,22.8,No,0,1,EMP0252
TKT00099,EMP0047,DEPT18,Service Request,Software,Medium,Closed,2023-07-25,2023-07-27 09:24:00,57.4,Yes,0,3,EMP0235
TKT00100,EMP0400,DEPT09,Incident,Other,High,Resolved,2021-02-01,2021-02-01 17:00:00,17.0,No,0,2,EMP0194
TKT00101,EMP0361,DEPT09,Service Request,Network,Low,Closed,2021-10-23,2021-10-23 19:18:00,19.3,No,0,4,EMP0389
TKT00102,EMP0171,DEPT01,Bug,Security,Critical,Closed,2023-04-20,2023-04-20 04:00:00,4.0,No,0,5,EMP0435
TKT00103,EMP0468,DEPT19,Incident,Access,High,Closed,2021-11-13,2021-11-14 05:36:00,29.6,Yes,0,4,EMP0434
TKT00104,EMP0181,DEPT16,Change Request,Application,High,Open,2021-06-03,2021-06-03 04:42:00,4.7,No,1,2,EMP0081
TKT00105,EMP0393,DEPT03,Problem,Other,Medium,Resolved,2023-08-20,2023-08-21 12:18:00,36.3,No,0,4,EMP0172
TKT00106,EMP0393,DEPT05,Incident,Network,High,Closed,2022-06-27,2022-06-28 05:00:00,29.0,Yes,0,4,EMP0168
TKT00107,EMP0284,DEPT07,Change Request,Other,Low,Open,2022-11-25,2022-11-26 00:36:00,24.6,No,2,4,EMP0005
TKT00108,EMP0033,DEPT03,Incident,Network,High,Reopened,2023-03-26,2023-03-27 05:12:00,29.2,Yes,3,4,EMP0112
TKT00109,EMP0336,DEPT13,Incident,Software,Low,Resolved,2021-06-14,2021-06-15 22:36:00,46.6,No,0,3,EMP0083
TKT00110,EMP0026,DEPT13,Service Request,Database,High,Resolved,2022-11-04,2022-11-05 05:24:00,29.4,Yes,2,2,EMP0325
TKT00111,EMP0266,DEPT01,Bug,Database,Critical,Resolved,2023-12-29,2023-12-29 05:54:00,5.9,Yes,0,2,EMP0179
TKT00112,EMP0108,DEPT02,Problem,Hardware,Low,Closed,2023-02-18,2023-02-21 01:36:00,73.6,Yes,0,5,EMP0425
TKT00113,EMP0186,DEPT16,Change Request,Application,Low,Resolved,2022-10-11,2022-10-12 11:42:00,35.7,No,1,4,EMP0006
TKT00114,EMP0275,DEPT14,Incident,Access,High,Resolved,2023-09-27,2023-09-28 11:12:00,35.2,Yes,1,4,EMP0038
TKT00115,EMP0102,DEPT15,Problem,Network,Low,Resolved,2021-03-15,2021-03-17 14:36:00,62.6,No,1,5,EMP0253
TKT00116,EMP0081,DEPT14,Incident,Security,High,Resolved,2021-05-21,2021-05-21 05:48:00,5.8,No,1,5,EMP0109
TKT00117,EMP0430,DEPT06,Bug,Software,Low,In Progress,2022-04-26,2022-04-29 18:30:00,90.5,Yes,0,3,EMP0195
TKT00118,EMP0275,DEPT01,Problem,Cloud,Low,Open,2022-08-12,2022-08-15 13:54:00,85.9,Yes,0,2,EMP0161
TKT00119,EMP0203,DEPT19,Change Request,Security,Critical,In Progress,2022-04-11,2022-04-11 04:48:00,4.8,Yes,0,5,EMP0131
TKT00120,EMP0441,DEPT02,Incident,Security,High,Resolved,2021-07-05,2021-07-05 21:48:00,21.8,No,0,5,EMP0067
TKT00121,EMP0368,DEPT03,Bug,Network,High,Resolved,2023-06-08,2023-06-08 12:42:00,12.7,No,0,4,EMP0461
TKT00122,EMP0118,DEPT09,Problem,Access,Medium,Resolved,2021-07-21,2021-07-21 09:36:00,9.6,No,0,5,EMP0201
TKT00123,EMP0149,DEPT10,Incident,Software,High,Resolved,2021-07-25,2021-07-25 05:54:00,5.9,No,1,3,EMP0095
TKT00124,EMP0411,DEPT16,Incident,Software,Medium,Open,2023-06-28,2023-06-29 06:30:00,30.5,No,1,2,EMP0147
TKT00125,EMP0083,DEPT07,Change Request,Access,Medium,Open,2021-12-07,2021-12-09 02:24:00,50.4,Yes,0,4,EMP0055
TKT00126,EMP0467,DEPT09,Bug,Database,High,Open,2022-09-06,2022-09-06 20:24:00,20.4,No,0,5,EMP0236
TKT00127,EMP0192,DEPT01,Service Request,Email,Medium,Resolved,2021-03-01,2021-03-02 08:06:00,32.1,No,1,4,EMP0276
TKT00128,EMP0170,DEPT09,Incident,Hardware,Medium,Open,2021-04-05,2021-04-07 18:42:00,66.7,Yes,0,4,EMP0131
TKT00129,EMP0212,DEPT07,Problem,Other,Low,Resolved,2022-10-27,2022-10-27 05:24:00,5.4,No,3,1,EMP0095
TKT00130,EMP0111,DEPT08,Change Request,Hardware,High,Resolved,2021-04-25,2021-04-25 04:30:00,4.5,No,0,3,EMP0299
TKT00131,EMP0284,DEPT15,Change Request,Database,Low,Resolved,2022-08-24,2022-08-27 19:42:00,91.7,Yes,0,5,EMP0032
TKT00132,EMP0376,DEPT01,Incident,Network,High,Closed,2023-01-05,2023-01-05 22:24:00,22.4,No,2,2,EMP0322
TKT00133,EMP0128,DEPT02,Incident,Network,Low,Resolved,2023-02-07,2023-02-10 12:12:00,84.2,Yes,2,4,EMP0096
TKT00134,EMP0482,DEPT19,Incident,Application,Medium,In Progress,2023-06-02,2023-06-02 02:06:00,2.1,No,0,4,EMP0339
TKT00135,EMP0007,DEPT14,Service Request,Hardware,High,Resolved,2021-10-26,2021-10-26 18:00:00,18.0,No,0,4,EMP0485
TKT00136,EMP0019,DEPT18,Incident,Hardware,Low,Open,2022-05-16,2022-05-16 01:42:00,1.7,No,1,5,EMP0294
TKT00137,EMP0433,DEPT16,Bug,Other,Low,In Progress,2023-12-24,2023-12-24 20:12:00,20.2,No,0,4,EMP0360
TKT00138,EMP0011,DEPT08,Problem,Network,Low,Closed,2023-04-24,2023-04-24 10:30:00,10.5,No,1,4,EMP0399
TKT00139,EMP0387,DEPT02,Incident,Security,Medium,In Progress,2022-01-04,2022-01-05 23:18:00,47.3,No,0,3,EMP0077
TKT00140,EMP0482,DEPT10,Service Request,Hardware,High,Reopened,2021-12-15,2021-12-16 08:00:00,32.0,Yes,0,3,EMP0113
TKT00141,EMP0270,DEPT12,Problem,Other,Low,In Progress,2021-12-25,2021-12-26 21:30:00,45.5,No,0,4,EMP0405
TKT00142,EMP0053,DEPT03,Change Request,Access,High,Closed,2021-06-11,2021-06-12 05:18:00,29.3,Yes,0,3,EMP0114
TKT00143,EMP0257,DEPT20,Incident,Cloud,Medium,Closed,2023-02-23,2023-02-25 07:54:00,55.9,Yes,0,5,EMP0158
TKT00144,EMP0204,DEPT12,Problem,Access,Medium,Resolved,2022-05-09,2022-05-11 02:12:00,50.2,Yes,0,4,EMP0170
TKT00145,EMP0406,DEPT15,Change Request,Other,Critical,Resolved,2023-10-17,2023-10-17 02:00:00,2.0,No,0,3,EMP0439
TKT00146,EMP0249,DEPT16,Service Request,Security,Medium,Resolved,2021-10-21,2021-10-22 22:24:00,46.4,No,0,2,EMP0049
TKT00147,EMP0022,DEPT18,Bug,Application,Medium,Closed,2022-04-21,2022-04-22 14:06:00,38.1,No,0,3,EMP0036
TKT00148,EMP0081,DEPT06,Incident,Network,Low,Resolved,2023-08-03,2023-08-04 21:06:00,45.1,No,0,4,EMP0008
TKT00149,EMP0145,DEPT12,Bug,Application,Low,Open,2022-06-05,2022-06-09 05:24:00,101.4,Yes,2,5,EMP0378
TKT00150,EMP0155,DEPT12,Service Request,Application,Low,Resolved,2023-07-31,2023-08-02 18:18:00,66.3,No,0,4,EMP0404
TKT00151,EMP0013,DEPT18,Problem,Other,Low,In Progress,2022-06-07,2022-06-07 05:00:00,5.0,No,0,2,EMP0017
TKT00152,EMP0118,DEPT18,Problem,Network,Medium,Closed,2021-01-20,2021-01-20 13:48:00,13.8,No,0,3,EMP0293
TKT00153,EMP0324,DEPT05,Service Request,Software,Medium,Closed,2023-08-11,2023-08-12 12:30:00,36.5,No,1,3,EMP0021
TKT00154,EMP0396,DEPT11,Service Request,Cloud,Medium,Open,2022-08-13,2022-08-15 20:30:00,68.5,Yes,0,4,EMP0330
TKT00155,EMP0353,DEPT12,Incident,Hardware,Low,Resolved,2021-11-20,2021-11-22 20:06:00,68.1,No,0,3,EMP0459
TKT00156,EMP0127,DEPT14,Change Request,Application,Low,Open,2021-06-01,2021-06-04 12:42:00,84.7,Yes,0,3,EMP0457
TKT00157,EMP0018,DEPT06,Bug,Access,High,Closed,2023-06-24,2023-06-24 13:12:00,13.2,No,1,3,EMP0216
TKT00158,EMP0140,DEPT19,Bug,Software,Critical,Closed,2022-12-09,2022-12-09 01:00:00,1.0,No,1,4,EMP0430
TKT00159,EMP0384,DEPT13,Problem,Software,Low,In Progress,2022-09-05,2022-09-06 02:12:00,26.2,No,0,4,EMP0347
TKT00160,EMP0064,DEPT12,Problem,Security,High,Resolved,2023-05-19,2023-05-19 05:06:00,5.1,No,0,5,EMP0024
TKT00161,EMP0417,DEPT15,Incident,Application,Medium,Closed,2022-05-28,2022-05-29 14:36:00,38.6,No,0,4,EMP0183
TKT00162,EMP0402,DEPT12,Service Request,Application,Medium,In Progress,2023-07-25,2023-07-25 07:48:00,7.8,No,0,4,EMP0126
TKT00163,EMP0194,DEPT10,Bug,Email,Medium,Resolved,2022-09-11,2022-09-12 02:42:00,26.7,No,1,3,EMP0003
TKT00164,EMP0336,DEPT05,Incident,Other,Low,Resolved,2022-02-12,2022-02-15 10:24:00,82.4,Yes,0,2,EMP0327
TKT00165,EMP0206,DEPT16,Problem,Security,Low,Open,2023-02-27,2023-03-01 10:48:00,58.8,No,0,4,EMP0392
TKT00166,EMP0068,DEPT18,Problem,Software,Medium,Open,2023-09-17,2023-09-17 16:36:00,16.6,No,0,2,EMP0492
TKT00167,EMP0419,DEPT14,Bug,Software,Medium,Reopened,2021-08-07,2021-08-09 07:42:00,55.7,Yes,0,3,EMP0277
TKT00168,EMP0380,DEPT12,Problem,Email,Critical,Resolved,2022-05-01,2022-05-01 04:18:00,4.3,Yes,0,1,EMP0285
TKT00169,EMP0449,DEPT14,Problem,Hardware,Medium,Resolved,2023-02-21,2023-02-21 20:36:00,20.6,No,2,3,EMP0468
TKT00170,EMP0139,DEPT03,Change Request,Database,Low,Resolved,2023-01-06,2023-01-06 21:42:00,21.7,No,0,2,EMP0212
TKT00171,EMP0442,DEPT20,Service Request,Access,High,Closed,2022-08-29,2022-08-30 04:54:00,28.9,Yes,0,5,EMP0262
TKT00172,EMP0044,DEPT09,Problem,Database,Low,Resolved,2022-08-28,2022-08-31 02:18:00,74.3,Yes,0,3,EMP0130
TKT00173,EMP0040,DEPT05,Change Request,Application,Medium,In Progress,2021-02-14,2021-02-16 21:48:00,69.8,Yes,0,2,EMP0125
TKT00174,EMP0038,DEPT11,Incident,Network,High,In Progress,2023-03-22,2023-03-22 17:36:00,17.6,No,0,3,EMP0008
TKT00175,EMP0259,DEPT12,Problem,Security,Critical,Closed,2022-07-17,2022-07-17 01:54:00,1.9,No,0,4,EMP0078
TKT00176,EMP0370,DEPT15,Incident,Application,High,In Progress,2021-01-17,2021-01-18 00:30:00,24.5,Yes,0,4,EMP0454
TKT00177,EMP0361,DEPT15,Problem,Hardware,High,Open,2021-04-11,2021-04-11 02:30:00,2.5,No,2,2,EMP0463
TKT00178,EMP0391,DEPT18,Bug,Database,High,Resolved,2023-10-15,2023-10-15 23:36:00,23.6,No,0,4,EMP0060
TKT00179,EMP0376,DEPT06,Change Request,Application,Critical,Open,2022-08-10,2022-08-10 02:24:00,2.4,No,0,3,EMP0046
TKT00180,EMP0213,DEPT02,Change Request,Access,Low,Reopened,2022-04-17,2022-04-18 23:30:00,47.5,No,0,4,EMP0197
TKT00181,EMP0011,DEPT11,Bug,Software,Low,Resolved,2022-12-23,2022-12-24 12:48:00,36.8,No,0,4,EMP0202
TKT00182,EMP0008,DEPT17,Service Request,Other,Low,In Progress,2022-03-25,2022-03-28 15:12:00,87.2,Yes,0,4,EMP0228
TKT00183,EMP0381,DEPT05,Change Request,Cloud,Low,In Progress,2022-01-25,2022-01-28 10:06:00,82.1,Yes,0,4,EMP0113
TKT00184,EMP0426,DEPT20,Incident,Application,High,Resolved,2022-05-29,2022-05-29 02:30:00,2.5,No,0,1,EMP0407
TKT00185,EMP0278,DEPT11,Change Request,Hardware,Medium,Resolved,2021-10-08,2021-10-10 05:36:00,53.6,Yes,2,4,EMP0070
TKT00186,EMP0310,DEPT18,Service Request,Security,Medium,Closed,2021-07-18,2021-07-20 18:42:00,66.7,Yes,0,3,EMP0316
TKT00187,EMP0471,DEPT06,Incident,Network,Low,Resolved,2021-03-22,2021-03-22 19:48:00,19.8,No,0,5,EMP0475
TKT00188,EMP0078,DEPT19,Incident,Access,High,Resolved,2022-09-25,2022-09-26 04:30:00,28.5,Yes,1,3,EMP0004
TKT00189,EMP0049,DEPT05,Bug,Email,Medium,Reopened,2023-06-22,2023-06-23 11:24:00,35.4,No,0,4,EMP0145
TKT00190,EMP0377,DEPT07,Problem,Hardware,High,Resolved,2021-03-10,2021-03-10 05:06:00,5.1,No,0,3,EMP0459
TKT00191,EMP0302,DEPT13,Bug,Database,Medium,Resolved,2023-01-18,2023-01-20 16:36:00,64.6,Yes,0,2,EMP0348
TKT00192,EMP0406,DEPT03,Problem,Other,Medium,Closed,2021-09-27,2021-09-29 04:12:00,52.2,Yes,1,4,EMP0172
TKT00193,EMP0201,DEPT14,Bug,Database,Low,Closed,2021-07-04,2021-07-06 16:24:00,64.4,No,0,4,EMP0491
TKT00194,EMP0100,DEPT04,Problem,Software,Low,Resolved,2022-08-28,2022-08-29 11:54:00,35.9,No,0,3,EMP0500
TKT00195,EMP0426,DEPT17,Change Request,Other,High,Closed,2022-11-01,2022-11-01 08:00:00,8.0,No,2,2,EMP0473
TKT00196,EMP0311,DEPT18,Incident,Database,Critical,Resolved,2023-05-01,2023-05-01 04:24:00,4.4,Yes,0,4,EMP0467
TKT00197,EMP0440,DEPT02,Problem,Security,Medium,Resolved,2021-12-26,2021-12-27 00:06:00,24.1,No,1,1,EMP0234
